PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY
"Evan
Mobley",CLE,4,C,6-11,215 lbs,USC,USA
"Malik
Monk",LAL,11,G,6-3,200 lbs,Kentucky,USA
"Moses
Moody",GSW,4,G,6-5,211 lbs,Arkansas,USA
"E'Twaun
Moore",ORL,55,G,6-3,191 lbs,Purdue,USA
"Ja
Morant",MEM,12,G,6-3,174 lbs,Murray State,USA
"Markieff
Morris",MIA,8,F,6-9,245 lbs,Kansas,USA
"Monte
Morris",DEN,11,G,6-2,183 lbs,Iowa State,USA
"Marcus
Morris Sr.",LAC,8,F,6-8,218 lbs,Kansas,USA
"Mychal
Mulder",ORL,2,G,6-3,184 lbs,Kentucky,Canada
"Trey
Murphy III",NOP,25,F,6-8,206 lbs,Virginia,USA
"Dejounte
Murray",SAS,5,G,6-4,180 lbs,Washington,USA
"Jamal
Murray",DEN,27,G,6-3,215 lbs,Kentucky,Canada
"Mike
Muscala",OKC,33,F-C,6-10,240 lbs,Bucknell,USA
"Svi
Mykhailiuk",TOR,14,G-F,6-7,205 lbs,Kansas,Ukraine
"Abdel
Nader",PHX,11,F,6-5,225 lbs,Iowa State,Egypt
"Larry
Nance Jr.",POR,11,F-C,6-7,245 lbs,Wyoming,USA
"RJ
Nembhard Jr.",CLE,5,G,6-4,200 lbs,TCU,USA
"Aaron
Nesmith",BOS,26,G-F,6-5,215 lbs,Vanderbilt,USA
"Raul
Neto",WAS,19,G,6-2,180 lbs,Murcia,Brazil
"Georges
Niang",PHI,20,F,6-7,230 lbs,Iowa State,USA
"Daishen
Nix",HOU,15,G,6-4,226 lbs,NBA G League Ignite,USA
"Zeke
Nnaji",DEN,22,F-C,6-9,240 lbs,Arizona,USA
"Nerlens
Noel",NYK,3,C-F,6-11,220 lbs,Kentucky,USA
"Jaylen
Nowell",MIN,4,G,6-4,201 lbs,Washington,USA
"Frank
Ntilikina",DAL,21,G,6-4,200 lbs,Strasbourg IG,France
"Kendrick
Nunn",LAL,12,G,6-2,190 lbs,Oakland,USA
"Jusuf
Nurkic",POR,27,C,6-11,290 lbs,Cedevita,Bosnia and Herzegovina
"David
Nwaba",HOU,2,G-F,6-5,219 lbs,Cal Poly,USA
"Jordan
Nwora",MIL,13,F,6-8,225 lbs,Louisville,USA
"Royce
O'Neale",UTA,23,F,6-5,226 lbs,Baylor,USA
"Semi
Ojeleye",MIL,37,F,6-6,240 lbs,Southern Methodist,USA
"Chuma
Okeke",ORL,3,F,6-6,229 lbs,Auburn,USA
"Josh
Okogie",MIN,20,G,6-4,213 lbs,Georgia Tech,Nigeria
"Onyeka
Okongwu",ATL,17,F-C,6-8,240 lbs,USC,USA
"Isaac
Okoro",CLE,35,F-G,6-5,225 lbs,Auburn,USA
"KZ
Okpala",MIA,11,F-G,6-8,215 lbs,Stanford,USA
